sentiment,message,tweetid,text
-1,"RT @chaamjamal: In man made global warming the role of man is to adjust the temperature record. @ClimateOfGavin #climatechange 
https://t.c…",810522835756220416,"chaamjamal: In man made global warming the role of man is to adjust the temperature record. ClimateOfGavin climatechange 
"
-1,"*seasons change* ugh global warming is getting out of hand, one day its hot the next it's cold!",910609893882769410,"*seasons change* ugh global warming is getting out of hand, one day its hot the next it's cold!"
-1,RT @realJoshuaHall: Actually very proud we have a climate denier in the White House because climate change doesn't exist! Have these so-calâ€¦,957752242378964993,realJoshuaHall: Actually very proud we have a climate denier in the White House because climate change doesn't exist! Have these so-calâ€¦
-1,"Itâ€™s true what they say, global warming is a lie. #22January #Winter https://t.co/Y4wF42F6Nl",953676090962161664,"Itâ€™s true what they say, global warming is a lie. 22January Winter "
-1,Delusional Obama Links Climate Change And Terrorism: - American Thinker - https://t.co/53WaOD8GkS  - https://t.co/kNQqauGjMV 273,727749052050374656,Delusional Obama Links Climate Change And Terrorism: - American Thinker -   -  273
-1,"the UN blames you for climate change, meanwhile ignores this https://t.co/fPNhxxmclJ ✈ ✈ #OpChemtrails #SRM",862326420961460228,"the UN blames you for climate change, meanwhile ignores this  ✈ ✈ OpChemtrails SRM"
-1,"RT @travelervt: To The Horror Of Global Warming Alarmists, Global Cooling Is Here - Forbes https://t.co/MNDomhP9iq",767520236631388160,"travelervt: To The Horror Of Global Warming Alarmists, Global Cooling Is Here - Forbes "
-1,RT @DavidAHoward: @pablothehat @clivebull @LBC One of the best lectures you'll ever see on fake climate change. The debunking is extremelyÃ¢â‚¬Â¦,796805501308780544,DavidAHoward: pablothehat clivebull LBC One of the best lectures you'll ever see on fake climate change. The debunking is extremelyÃ¢â‚¬Â¦
-1,@AndrewSiffert @70_dbz The next hurricane to hit US will be climate change related because the media will say so. And they're never wrong.,814310842967687168,AndrewSiffert 70_dbz The next hurricane to hit US will be climate change related because the media will say so. And they're never wrong.
-1,I suppose that$q$s a good point. #debatenight https://t.co/tdH4mRtwpl,780579035638214657,I suppose that$q$s a good point. debatenight 
-1,"RT @Trial_Watcher1: @DrMartyFox @SheriffClarke @LouDobbs @seanhannity - the global warming scam to tax the air we breathe, in order to fund…",809352451832901632,"Trial_Watcher1: DrMartyFox SheriffClarke LouDobbs seanhannity - the global warming scam to tax the air we breathe, in order to fund…"
-1,RT @KGBVeteran: WATCH: Crazed leftist verbally assaults Trump supporter on a plane.  Then goes on bizarre rant about climate change. https:…,823557859405340672,KGBVeteran: WATCH: Crazed leftist verbally assaults Trump supporter on a plane.  Then goes on bizarre rant about climate change. https:…
-1,Mathematical proof that man-made climate change is a total hoax – https://t.co/JXkZaUzlei https://t.co/Px4yjkll4c,848083660091920384,Mathematical proof that man-made climate change is a total hoax –  
-1,@HillF1 Fake as global warming,907283121661403137,HillF1 Fake as global warming
-1,"@deedles420 @midnight That's sung by the fake scientists with their fake climate change reports.

Its not acid rain… https://t.co/kNBYtnutNB",855256953597169665,"deedles420 midnight That's sung by the fake scientists with their fake climate change reports.

Its not acid rain… "
-1,RT @Varneyco: Eminent Princeton physicist says climate change scientists are 'glassy-eyed cultists'.. who will potentially harm t…,832706032006631425,Varneyco: Eminent Princeton physicist says climate change scientists are 'glassy-eyed cultists'.. who will potentially harm t…
-1,"RT @NatShupe: So Obama and Hillary had nothing to do with this, climate change caused this.  Got it. https://t.co/nZ1Mfz0JX2",809763179656052736,"NatShupe: So Obama and Hillary had nothing to do with this, climate change caused this.  Got it. "
-1,@FaceTheNation It is a hoax...hasn't been any global warming in 17 years...fact,871387207139033089,FaceTheNation It is a hoax...hasn't been any global warming in 17 years...fact
-1,RT @JunkScience: @SteveSGoddard Okay with me if warmists want to commit agenda suicide with global warming-causes-snow. We all need a good …,690613984676810757,JunkScience: SteveSGoddard Okay with me if warmists want to commit agenda suicide with global warming-causes-snow. We all need a good …
-1,RT @usachemo: @ActinideAge @tder2012 More proof that climate change has a religious aspect that sometimes overshadows the scientific part.,886080435603644416,usachemo: ActinideAge tder2012 More proof that climate change has a religious aspect that sometimes overshadows the scientific part.
-1,"@Acosta Your climate change BS is idiotic, get a clue you dam moron",908438801747517440,"Acosta Your climate change BS is idiotic, get a clue you dam moron"
-1,"No, Prince Charles, Climate Change Is Not Responsible For Syria Or ISIS https://t.co/hCBOxx4n8n via @Weasel ISIS= $q$we behead cause heat$q$",668859224999510016,"No, Prince Charles, Climate Change Is Not Responsible For Syria Or ISIS  via Weasel ISIS= $q$we behead cause heat$q$"
-1,"Hey @algore wake up, I got something for you to blame on climate change. Apparently you are not paying attention gâ€¦ https://t.co/MMw0sx4v9O",955119077944684544,"Hey algore wake up, I got something for you to blame on climate change. Apparently you are not paying attention gâ€¦ "
-1,RT @ClimateTruthNow: The science fiction of man-made global warming is rapidly being exposed by legitimate climate science: https://t.co/j6Ã¢â‚¬Â¦,795350297191165953,ClimateTruthNow: The science fiction of man-made global warming is rapidly being exposed by legitimate climate science: 
-1,RT @whiteyspeak: I believe in climate change however I question if humans are causing the warming. Is that allowed comrade? https://t.co/Zj…,816444844650496004,whiteyspeak: I believe in climate change however I question if humans are causing the warming. Is that allowed comrade? 
-1,"@nbcwashington @ABC @CBSNews @foxheadlines Climate change, really? While tens of thousands of Christians have been murdered by Muslims?",646727185575731200,"nbcwashington ABC CBSNews foxheadlines Climate change, really? While tens of thousands of Christians have been murdered by Muslims?"
-1,RT @realDonaldTrump: It's freezing and snowing in New York--we need global warming!,818335252099629057,realDonaldTrump: It's freezing and snowing in New York--we need global warming!
-1,@KlayBuckShotz climate change ain't nothin 🤐🤐,839614097738067968,KlayBuckShotz climate change ain't nothin 🤐🤐
-1,"If the facts supported climate change alarmism, the facts *would* be enough https://t.co/VqdZbksyZ1",851460186833375232,"If the facts supported climate change alarmism, the facts *would* be enough "
-1,"Bernie Sanders, The Only One Stupid Enough To Say Climate Change Is Our Biggest National Security Threat… 
http://t.co/uKG1YgcA6V",654588378952761344,"Bernie Sanders, The Only One Stupid Enough To Say Climate Change Is Our Biggest National Security Threat… 
"
-1,@donttrythis So how can you demand science be the basis for climate change proof but not the gender of a human? That's not how it works.,857409969955762177,donttrythis So how can you demand science be the basis for climate change proof but not the gender of a human? That's not how it works.
-1,@buterastrology global warming is a myth and the holocaust is fake and never happened open your eyes to the truth people wake up,795618698174365697,buterastrology global warming is a myth and the holocaust is fake and never happened open your eyes to the truth people wake up
-1,"RT @loftyjester: Of course they have, fuck all to do with FAKE climate change, all to do with trade partnerships. https://t.co/8OHfpgWybC",872520537880358912,"loftyjester: Of course they have, fuck all to do with FAKE climate change, all to do with trade partnerships. "
-1,"This is what the climate change religion is leading toward. 
 https://t.co/5f9Volex2F",956145442630324226,"This is what the climate change religion is leading toward. 
 "
-1,"Snow in NC for the second time in two weeks. I call BS on global warming. LOL

North Carolina right now https://t.co/fzvJUwwYjb",956231662714671104,"Snow in NC for the second time in two weeks. I call BS on global warming. LOL

North Carolina right now "
-1,"Lefties ignore the science of abortion just as hard as righties ignore the science of climate change don't @ me

https://t.co/ctwkFV9p1l",867801657811316738,"Lefties ignore the science of abortion just as hard as righties ignore the science of climate change don't  me

"
-1,"Notice they changed it to climate change. Look at the graphs they produce, 6th grade math from the 70's ciphers the… https://t.co/L8m2377UIA",859910554986721281,"Notice they changed it to climate change. Look at the graphs they produce, 6th grade math from the 70's ciphers the… "
-1,RT @Bullitino: Why should We The People have to succumb to rules and regulations established by global dictate at these climate change meet…,671479063744258049,Bullitino: Why should We The People have to succumb to rules and regulations established by global dictate at these climate change meet…
