sentiment,message,tweetid,text
1,"RT @LastWeekTonight: To find out who exactly your representatives are so you can see what they think about climate change, go here: https:/…",871757658541375488,"LastWeekTonight: To find out who exactly your representatives are so you can see what they think about climate change, go here: https:/…"
1,Apocalyptic forecasts increase as climate change conference draws near https://t.co/muyEORu9uw #feedly,670964042656260096,Apocalyptic forecasts increase as climate change conference draws near  feedly
1,RT @sierraclub: In case there was any doubt about the climate disaster that Trump would be... #ClimateVoter https://t.co/TgJ02F4Hrk,780439228664557568,sierraclub: In case there was any doubt about the climate disaster that Trump would be... ClimateVoter 
1,why doesnâ€™t Trump ever tweet about something of importance like climate change????!!!!!!,958924779435778048,why doesnâ€™t Trump ever tweet about something of importance like climate change????!!!!!!
1,"Huge…? RT @ezraklein: The Pope is framing global warming as a moral issue, and it$q$s freaking climate deniers out: http://t.co/gx4QRm1ADn",593550943381114880,"Huge…? ezraklein: The Pope is framing global warming as a moral issue, and it$q$s freaking climate deniers out: "
1,@marcusbrig But what do they have to help repel fascists? Does bug spray work? Do solar panels work on climate change deniers?,808264897775616005,marcusbrig But what do they have to help repel fascists? Does bug spray work? Do solar panels work on climate change deniers?
1,RT @BusinessNBenjis: You dumb as shit global warming is getting worse &amp; if we don$q$t start taking care of the earth it will kill us off http…,687109125256409088,BusinessNBenjis: You dumb as shit global warming is getting worse &amp; if we don$q$t start taking care of the earth it will kill us off http…
1,"RT @HaikuVikingGal: 'G20 summit ends with Trump at odds over climate change'

Always the outsider. History will not be kind to Trump https…",883782762074955777,"HaikuVikingGal: 'G20 summit ends with Trump at odds over climate change'

Always the outsider. History will not be kind to Trump https…"
1,RT @JohnLutge: @MickKime @Lynquest Soon to be broadcasting clean coal and climate change denial documentaries 24*7.,838998415807696896,JohnLutge: MickKime Lynquest Soon to be broadcasting clean coal and climate change denial documentaries 24*7.
1,"@jpodhoretz Someone understands climate change! fwiw, Warsh's sister is a meteorologist.",843849859387932672,"jpodhoretz Someone understands climate change! fwiw, Warsh's sister is a meteorologist."
1,RT @ak2734109: #TheSuperHuman is doing endless efforts to save this earth from Global Warming. Thats why he regularly Organize #MSGTreePlan…,617519658992689152,ak2734109: TheSuperHuman is doing endless efforts to save this earth from Global Warming. Thats why he regularly Organize MSGTreePlan…
1,"RT @unredd: Addressing #forest loss is key for reaching goals of #ParisAgreement. To have a 50% chance of limiting global warming to 1.5Â°C,â€¦",955594232680640517,"unredd: Addressing forest loss is key for reaching goals of ParisAgreement. To have a 50% chance of limiting global warming to 1.5Â°C,â€¦"
